water_type,lake_name,county,survey_year,species,cpue_or_abundance_metric,cpue_value,notes,source_pdf_url
lake,Tichigan Lake,Racine,2022,Northern Pike,fish per net-night (fyke net),0.54,"85 total captured 2022 SNI; down from 280 (1.0/net-night) in 2017. Average length 25.5 in, max 38.5 in.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RacineTichigan2022Comp.pdf
lake,Tichigan Lake,Racine,2022,Walleye,fish per net-night (fyke net),0.75,"118 total 2022 SNI; adult population estimate 0.98/acre (down from 6.5/acre in 2017 — open river connection makes estimates unreliable). Also 15.3 fish/mile via electrofishing.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RacineTichigan2022Comp.pdf
lake,Tichigan Lake,Racine,2022,Largemouth Bass,fish per mile electrofished,20.0,70 total captured 2022 SEII; down from 38.5 fish/mile in 2017.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RacineTichigan2022Comp.pdf
lake,Tichigan Lake,Racine,2022,Bluegill,fish per mile electrofished,78.0,"39 total captured 2022 SEII; 301 total measured (subsample) across surveys. 76% of SNI-measured bluegill were >=6 inches.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RacineTichigan2022Comp.pdf
lake,Tichigan Lake,Racine,2022,Pumpkinseed,n/a — narrative mention only,n/a,"104 measured (subsample) via SNI; 77% >=6 inches, no numeric abundance estimate reported.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RacineTichigan2022Comp.pdf
lake,Tichigan Lake,Racine,2022,Black Crappie,n/a — narrative mention only,n/a,"250 measured (subsample) via SNI; 56% >=8 inches, no numeric abundance estimate reported.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RacineTichigan2022Comp.pdf
lake,Tichigan Lake,Racine,2022,Yellow Perch,fish per mile electrofished,6.0,270 measured (subsample) via SNI; 21% of SNI-measured fish >=8 inches.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RacineTichigan2022Comp.pdf
lake,Tichigan Lake,Racine,2022,Warmouth,n/a — narrative mention only,n/a,94 measured (subsample) via SNI; 94% >=6 inches.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RacineTichigan2022Comp.pdf
lake,Tichigan Lake,Racine,2021,Channel Catfish,fish per net-night (baited hoop net),4.2,"154 total captured; 87% >=16 inches, 48% >=24 inches. Consumption advisory (PCBs) in effect.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RacineTichigan2022Comp.pdf
lake,Tichigan Lake,Racine,2022,Bowfin,total catch count,3,'Other species' low-abundance list.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RacineTichigan2022Comp.pdf
lake,Tichigan Lake,Racine,2022,Golden Shiner,total catch count,2,'Other species' low-abundance list.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RacineTichigan2022Comp.pdf
lake,Tichigan Lake,Racine,2022,Green Sunfish,total catch count,1,'Other species' low-abundance list.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RacineTichigan2022Comp.pdf
lake,Tichigan Lake,Racine,2022,Rock Bass,total catch count,19,'Other species' low-abundance list.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RacineTichigan2022Comp.pdf
lake,Tichigan Lake,Racine,2022,Smallmouth Bass,total catch count,4,'Other species' low-abundance list.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RacineTichigan2022Comp.pdf
lake,Tichigan Lake,Racine,2022,White Sucker,total catch count,1,'Other species' low-abundance list.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RacineTichigan2022Comp.pdf
lake,Tichigan Lake,Racine,2022,Yellow Bass,total catch count,4,'Other species' low-abundance list.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RacineTichigan2022Comp.pdf
lake,Big Muskego Lake,Waukesha,2020,Northern Pike,fish per net-night (fyke net),20.3,"1,056 sampled 2020 SNI (95th percentile statewide). Schumacher-Eschmeyer adult population estimate 5,267 fish (2.4 adults/acre).",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/WaukeshaBigMuskegoLake2021CompSurvey_.pdf
lake,Big Muskego Lake,Waukesha,2019,Northern Pike,fish per net-night (fyke net),9.9,566 sampled 2019 SNI (90th percentile); peak spawning missed due to late ice-out.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/WaukeshaBigMuskegoLake2021CompSurvey_.pdf
lake,Big Muskego Lake,Waukesha,2019,Largemouth Bass,fish per mile electrofished,8.2,"41 sampled in 2019 SEII (below average, 25th percentile).",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/WaukeshaBigMuskegoLake2021CompSurvey_.pdf
lake,Big Muskego Lake,Waukesha,2019,Bluegill,fish per mile electrofished,36.0,18 sampled in 2019 SEII (below 25th percentile); also 1.1/net-night via SNI.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/WaukeshaBigMuskegoLake2021CompSurvey_.pdf
lake,Big Muskego Lake,Waukesha,2019,Yellow Perch,fish per net-night (fyke net),0.53,30 sampled 2019 SNI (10th percentile); only 2 sampled in 2020 SNI.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/WaukeshaBigMuskegoLake2021CompSurvey_.pdf
lake,Big Muskego Lake,Waukesha,2019,Black Crappie,fish per net-night (fyke net),0.18,"10 sampled 2019 SNI (1st percentile, below average). 7 sampled 2020 SNI (0.13/net-night).",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/WaukeshaBigMuskegoLake2021CompSurvey_.pdf
lake,Big Muskego Lake,Waukesha,2019,Common Carp,total catch count,4,"Combined 2019-2020 sampling; many more observed but evaded capture via gear avoidance in shallow water.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/WaukeshaBigMuskegoLake2021CompSurvey_.pdf
lake,Pigeon Lake,Manitowoc,2024,Northern Pike,fish per net-night (fyke net),0.4,"22 measured; PSD 58 (69th percentile). Nearly identical to 2014 rate of 0.5/net-night.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ManitowocPigeonLake2024Comp.pdf
lake,Pigeon Lake,Manitowoc,2024,Walleye,fish per net-night (fyke net),0.08,"4 measured; PSD 100. Down from 0.91/net-night in 2014, indicating poor stocked-fish survival.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ManitowocPigeonLake2024Comp.pdf
lake,Pigeon Lake,Manitowoc,2024,Largemouth Bass,fish per mile electrofished,34.3,"24 measured; PSD 46 (29th percentile). Down from 47.8/mile in 2014.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ManitowocPigeonLake2024Comp.pdf
lake,Pigeon Lake,Manitowoc,2024,Black Crappie,fish per net-night (fyke net),0.1,"4 measured; PSD 100 (very high, 8th percentile abundance). Similar to 0.2/net-night in 2014.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ManitowocPigeonLake2024Comp.pdf
lake,Pigeon Lake,Manitowoc,2024,Bluegill,fish per mile electrofished,114.3,"80 measured via electrofishing (60th percentile); also 1.1 fish/net-night via fyke netting (21st percentile), PSD 59.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ManitowocPigeonLake2024Comp.pdf
lake,Pigeon Lake,Manitowoc,2024,Yellow Perch,fish per net-night (fyke net),0.8,"46 measured; PSD 65 (91st percentile size structure). Down from 2.6/net-night in 2014.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ManitowocPigeonLake2024Comp.pdf
lake,Pigeon Lake,Manitowoc,2024,Rock Bass,fish per net-night (fyke net),0.7,44 measured; PSD 59 (62nd percentile). Down from 4.9/net-night in 2014.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_ManitowocPigeonLake2024Comp.pdf
lake,Elkhart Lake,Sheboygan,2022,Northern Pike,fish per net-night (fyke net),0.26,"23 sampled SNI + 8 in SNII (0.14/net-night); mean length 22.2 in, max 31.0 in.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/SheboyganElkhartLake2022CompSurvey_.pdf
lake,Elkhart Lake,Sheboygan,2022,Walleye,fish per net-night (fyke net),4.82,"424 sampled (incl. 83 recaptures) 2022 SNI. Adult population estimate 1,140 fish (3.90/acre), up from 348 (1.19/acre) in 2011.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/SheboyganElkhartLake2022CompSurvey_.pdf
lake,Elkhart Lake,Sheboygan,2022,Muskellunge,fish per net-night (fyke net),0.03,"5 sampled (incl. 1 recapture); mean length 40.8 in, max 46.0 in. Too few for population estimate.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/SheboyganElkhartLake2022CompSurvey_.pdf
lake,Elkhart Lake,Sheboygan,2022,Largemouth Bass,fish per mile electrofished,10.0,"35 sampled in SEII, above average for similar lakes; down from 16/mile in 2011.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/SheboyganElkhartLake2022CompSurvey_.pdf
lake,Elkhart Lake,Sheboygan,2022,Smallmouth Bass,fish per mile electrofished,21.1,"74 sampled in SEII, above average for similar lakes.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/SheboyganElkhartLake2022CompSurvey_.pdf
lake,Elkhart Lake,Sheboygan,2022,Bluegill,fish per mile electrofished,20.8,"52 sampled SEII (below average, 51 fish/mile typical). Also 3.06/net-night via SNI (270 sampled, not individually marked).",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/SheboyganElkhartLake2022CompSurvey_.pdf
lake,Elkhart Lake,Sheboygan,2022,Pumpkinseed,fish per net-night (fyke net),1.69,149 sampled SNI; also 5.2 fish/mile via SEII (13 sampled).,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/SheboyganElkhartLake2022CompSurvey_.pdf
lake,Elkhart Lake,Sheboygan,2022,Black Crappie,fish per net-night (fyke net),0.31,"28 sampled SNI; additional 22 in SNII (0.25/net-night). Recruitment sporadic, peaks at 4-in and 8-in length bins.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/SheboyganElkhartLake2022CompSurvey_.pdf
lake,Elkhart Lake,Sheboygan,2022,Yellow Perch,fish per net-night (fyke net),0.18,"16 sampled SNI (below average 4.8/net-night); also 9.3 fish/mile via SEII (14 sampled).",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/SheboyganElkhartLake2022CompSurvey_.pdf
lake,Elkhart Lake,Sheboygan,2022,Rock Bass,fish per net-night (fyke net),5.2,"333 sampled SNII, up from 92 (0.53/net-night) in 2011.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/SheboyganElkhartLake2022CompSurvey_.pdf
lake,Gilas Lake,Marinette,2022,Bluegill,fish per mile electrofished,164.0,"701 total collected (54.7% of catch); up from 134.0/mile in 2012. Mean length 6.3 in, range 1.8-8.9 in. PSD decreased 40 to 31.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_MarinetteGilasLake2022CompSurvey.pdf
lake,Gilas Lake,Marinette,2022,Yellow Bullhead,total catch count,405,"31.6% of total catch; mean length 11.6 in, range 10.2-12.4 in.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_MarinetteGilasLake2022CompSurvey.pdf
lake,Gilas Lake,Marinette,2022,Largemouth Bass,fish per mile electrofished,28.0,"59 total collected (4.6%); down from 47.0/mile in 2012. Mean length 9.7 in, range 3.5-18.9 in. PSD increased 62 to 81.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_MarinetteGilasLake2022CompSurvey.pdf
lake,Gilas Lake,Marinette,2022,Pumpkinseed,total catch count,41,"3.2% of total catch; mean length 6.3 in, range 3.9-7.2 in.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_MarinetteGilasLake2022CompSurvey.pdf
lake,Gilas Lake,Marinette,2022,Black Crappie,total catch count,27,"2.1% of total catch; mean length 9.2 in, range 5.5-14.9 in.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_MarinetteGilasLake2022CompSurvey.pdf
lake,Gilas Lake,Marinette,2022,Yellow Perch,total catch count,22,"1.7% of total catch; mean length 4.8 in, range 3.1-7.7 in.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_MarinetteGilasLake2022CompSurvey.pdf
lake,Gilas Lake,Marinette,2022,Northern Pike,total catch count,10,"0.8% of total catch; mean length 23.4 in, range 19.0-26.4 in. Never a dominant predator here (limited weedy habitat).",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_MarinetteGilasLake2022CompSurvey.pdf
lake,Gilas Lake,Marinette,2022,Warmouth,total catch count,10,"0.8% of total catch; mean length 5.3 in, range 5.0-7.0 in.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_MarinetteGilasLake2022CompSurvey.pdf
lake,Fay Lake,Florence,2024,Walleye,fish per net-night (fyke net),6.25,"126 adults marked/captured mark-recapture; adult population estimate 138 fish (0.49 adults/acre), down from 0.75/acre in 2013 despite biennial stocking.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_FlorenceFayLake2024Comp.pdf
lake,Fay Lake,Florence,2024,Northern Pike,fish per net-night (fyke net),3.55,"126 adults marked initially; adult population estimate 1,367 fish (4.85 adults/acre), down slightly from 5.27/acre in 2013 but still well above area average.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_FlorenceFayLake2024Comp.pdf
lake,Fay Lake,Florence,2024,Black Crappie,fish per net-night (fyke net),2.85,"57 caught early spring; steep decline from 339.8/net-night in 2013 (likely single dominant year class then). Late spring rate was 8.5/net-night.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_FlorenceFayLake2024Comp.pdf
lake,Fay Lake,Florence,2024,Largemouth Bass,adults per mile electrofished,3.9,"14 adults captured; down from 4.6/mile in 2013, related to 2013-14 winterkill event.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_FlorenceFayLake2024Comp.pdf
lake,Fay Lake,Florence,2024,Bluegill,fish per net-night (fyke net),136.6,"1,639 captured; up from 94.9/net-night in 2013. Considered abundant (area average 65.6/net-night).",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_FlorenceFayLake2024Comp.pdf
lake,Fay Lake,Florence,2024,Bullhead (black/yellow/brown combined),fish per net-night (fyke net),77.5,"10,490 bullhead removed (~37.2/acre) as part of walleye-rehabilitation biomanipulation; up from 33.0/net-night in 2013. Yellow bullhead most abundant of the three species.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_FlorenceFayLake2024Comp.pdf
lake,Fay Lake,Florence,2024,Pumpkinseed,fish per net-night (fyke net),66.0,792 captured in same netting survey as bluegill.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_FlorenceFayLake2024Comp.pdf
lake,Fay Lake,Florence,2024,White Sucker,fish per net-night (fyke net),1.7,"37 captured; down from 13.1/net-night in 2013 but still above area average of 1.03/net-night.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_FlorenceFayLake2024Comp.pdf
lake,Fay Lake,Florence,2024,Muskellunge,fish per net-night (fyke net),0.01,"Single 43.4-inch male recaptured, also caught in 2013 at 42.9 inches (25 years old in 2024).",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_FlorenceFayLake2024Comp.pdf
lake,Fay Lake,Florence,2024,Yellow Perch,fish per net-night (fyke net),0.08,Minor 'other species' abundance table; low overall catch.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_FlorenceFayLake2024Comp.pdf
lake,Fay Lake,Florence,2024,Golden Shiner,fish per net-night (fyke net),0.08,Minor 'other species' abundance table; low overall catch.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_FlorenceFayLake2024Comp.pdf
lake,Island Lake,Iron,2024,Black Crappie,fish per net-night (fyke net),13.0,"389 captured; range 7.9-13.0 in, average 10.4 in. Moderate density, quality size structure.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronIsland2024Comp.pdf
lake,Island Lake,Iron,2024,Northern Pike,fish per net-night (fyke net),3.5,"106 adults captured; range 9.7-38.3 in, average 17.3 in. Some trophy potential.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronIsland2024Comp.pdf
lake,Island Lake,Iron,2024,Pumpkinseed,fish per mile electrofished,33.0,"33 captured; range 4.3-8.2 in, average 7.1 in. Low density, quality size structure.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronIsland2024Comp.pdf
lake,Island Lake,Iron,2024,Walleye,adult fish per acre (population estimate),2.9,"621 adults captured, range 10.0-22.9 in, average 14.8 in; population estimate 1,030 individuals. High density but small average size.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronIsland2024Comp.pdf
lake,Island Lake,Iron,2024,Yellow Perch,n/a — narrative mention only,n/a,"Noted present in low numbers, no numeric CPUE given.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronIsland2024Comp.pdf
lake,Island Lake,Iron,2024,Largemouth Bass,n/a — narrative mention only,n/a,Noted present in low numbers.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronIsland2024Comp.pdf
lake,Island Lake,Iron,2024,Yellow Bullhead,n/a — narrative mention only,n/a,Noted present in low numbers.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronIsland2024Comp.pdf
lake,Island Lake,Iron,2024,White Sucker,n/a — narrative mention only,n/a,Noted present in low numbers.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronIsland2024Comp.pdf
lake,Island Lake,Iron,2024,Rock Bass,n/a — narrative mention only,n/a,Noted present in low numbers.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_IronIsland2024Comp.pdf
lake,Amnicon Lake,Douglas,2024,Northern Pike,fish per net-night (fyke net),1.7,"102 captured 2024 SN1, range 6.9-29.0 in. Up from 0.1/net-night in 2006 (first documented) but below complex-cool-dark average of 4.5.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_DouglasAmnicon2024CompSurvey.pdf
lake,Amnicon Lake,Douglas,2024,Walleye,adults per acre (population estimate),0.9,"Adult population estimate 377 fish; up from 0.2/acre in 2014, still below 2006 (2.9/acre) and 1999 (4.2/acre). PSD-15 was 94.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_DouglasAmnicon2024CompSurvey.pdf
lake,Amnicon Lake,Douglas,2024,Muskellunge,adults per acre (population estimate),0.15,"Adult population estimate 65 fish (95% CI 36-94), down sharply from 1.8 adults/acre in 2007. PSD-42 25.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_DouglasAmnicon2024CompSurvey.pdf
lake,Amnicon Lake,Douglas,2024,Largemouth Bass,fish per mile electrofished,8.1,"32 captured 2024 SE2, range 9.1-20.3 in. Near average for complex-cool-dark lakes.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_DouglasAmnicon2024CompSurvey.pdf
lake,Amnicon Lake,Douglas,2024,Black Crappie,fish per net-night (fyke net),14.3,"487 captured 2024 SN2, range 2.8-12.5 in. Up from 7.5/net-night in 2017.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_DouglasAmnicon2024CompSurvey.pdf
lake,Amnicon Lake,Douglas,2024,Bluegill,fish per mile electrofished,145.0,"145 captured 2024 SE2, range 2.5-7.6 in. Near average for complex-cool-dark lakes.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_DouglasAmnicon2024CompSurvey.pdf
lake,Amnicon Lake,Douglas,2024,White Sucker,total catch count,114,'Other species' section of 2024 combined fyke/electrofishing surveys.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_DouglasAmnicon2024CompSurvey.pdf
lake,Amnicon Lake,Douglas,2024,Pumpkinseed,total catch count,37,"'Other species' section; range 3.4-8.4 in.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_DouglasAmnicon2024CompSurvey.pdf
lake,Amnicon Lake,Douglas,2024,Yellow Perch,total catch count,22,"'Other species' section; range 3.8-6.0 in, rare and small.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_DouglasAmnicon2024CompSurvey.pdf
lake,Amnicon Lake,Douglas,2024,Golden Shiner,total catch count,30,'Other species' section.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_DouglasAmnicon2024CompSurvey.pdf
lake,Amnicon Lake,Douglas,2024,Yellow Bullhead,total catch count,16,'Other species' section.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_DouglasAmnicon2024CompSurvey.pdf
lake,Lee Lake,Richland,2019,Bluegill,fish per mile electrofished,142.0,"71 total caught; mean length 5.1 in, range 2.8-7.5 in. Above average for simple-riverine lake class.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RichlandLeeLake2019Comprehensive.pdf
lake,Lee Lake,Richland,2019,Largemouth Bass,fish per mile electrofished,60.0,"120 total caught; mean length 11.8 in, range 4.1-18.0 in, ~35% >14 inches. Ranks high for lake class.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RichlandLeeLake2019Comprehensive.pdf
lake,Lee Lake,Richland,2019,Walleye,fish per mile electrofished,5.5,"11 total caught; mean length 9.1 in, range 7.1-10.0 in. Low despite private club stocking.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RichlandLeeLake2019Comprehensive.pdf
lake,Lee Lake,Richland,2019,Pumpkinseed,fish per mile electrofished,12.0,6 total caught.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RichlandLeeLake2019Comprehensive.pdf
lake,Lee Lake,Richland,2019,Yellow Perch,fish per mile electrofished,20.0,10 total caught.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RichlandLeeLake2019Comprehensive.pdf
lake,Lee Lake,Richland,2019,Black Crappie,fish per mile electrofished,2.0,1 total caught.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RichlandLeeLake2019Comprehensive.pdf
lake,Lee Lake,Richland,2019,White Sucker,total catch count,248,"Very abundant but not detailed as a CPUE target species in this tier-1 survey.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RichlandLeeLake2019Comprehensive.pdf
lake,Lee Lake,Richland,2019,Black Bullhead,total catch count,1,Present in very small numbers.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RichlandLeeLake2019Comprehensive.pdf
lake,Lee Lake,Richland,2019,Yellow Bullhead,total catch count,1,Present in very small numbers (reported as brown bullhead in narrative text; table labels yellow bullhead).,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_RichlandLeeLake2019Comprehensive.pdf
lake,Yellowstone Lake,Lafayette,2018,Muskellunge,fish per net-night (fyke net),0.54,"Adult population estimate 99 fish (0.22/acre); median for complex-warm-dark lakes is 0.325/net-night. Growth above statewide average, 38 in by age 7. Size range 10.4-47.7 in, mean 34.2 in.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_LafayetteYellowstoneLakeCompReport20182019.pdf
lake,Yellowstone Lake,Lafayette,2018,Walleye,fish per net-night (fyke net),7.32,"Adult population estimate 1,955 fish (4.3/acre); exceeds 75th percentile (5.77) for complex-warm-dark lakes. Growth above statewide average, 25 in by age 10.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_LafayetteYellowstoneLakeCompReport20182019.pdf
lake,Yellowstone Lake,Lafayette,2018,Largemouth Bass,fish per mile electrofished,22.75,"Down from 76/mile in 2012 and 38.6/mile in 2015 (downward trend); median for complex-dark lakes is 17.4/mile. Size range 11.1-21 in, mean 14.6 in.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_LafayetteYellowstoneLakeCompReport20182019.pdf
lake,Yellowstone Lake,Lafayette,2019,Channel Catfish,fish per net-night (fyke net),4.88,"Size range 10.0-29.5 in, mean 16.6 in; 71% under 17 inches.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_LafayetteYellowstoneLakeCompReport20182019.pdf
lake,Yellowstone Lake,Lafayette,2019,Flathead Catfish,total catch count,5,"Small sustained population; size range 23.3-39.5 in, mean 33.4 in.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_LafayetteYellowstoneLakeCompReport20182019.pdf
